S_no,Gender,Degree,Specialization,CGPA,marks_12,Company_Placed,Package,Speaking,Extra_Curricular,Internship_Experience,Python,Java,C,CPP,DBMS,OOPS,Data_Structures,SQL,Operating_Systems,Data_Communication_and_Computer_Networks,Machine_Learning,Deep_Learning,Mobile_App_Development,Web_App_Development
113,Male,B.E/B.Tech,CSE,7.35,89.53,HD Works,12,6,5,No,7,6,5,5,9,5,9,10,9,8,8,5,9,9
114,Female,B.E/B.Tech,CSE,9.31,86.04,Barclays,12.75,6,8,Yes,8,10,5,9,5,7,9,7,6,8,7,4,6,9
115,Female,B.E/B.Tech,CSE,7.21,86.16,Keka,7,6,4,No,5,6,6,6,5,4,5,4,4,3,5,4,4,5
116,Male,B.E/B.Tech,CSE,7.79,90.58,Advance Auto Parts,9,7,9,Yes,8,7,8,5,6,8,7,7,9,4,7,6,5,10
117,Female,B.E/B.Tech,CSE,7.43,85.27,Accenture (Adv ASE),6.5,6,2,No,7,2,5,7,8,3,4,8,4,2,1,2,5,2
118,Female,B.E/B.Tech,CSE,8.03,93.45,Advance Auto Parts,9,5,5,Yes,6,4,7,8,5,7,5,6,6,4,5,4,5,4
119,Female,B.E/B.Tech,CSE,8.49,93.64,JP Morgan Chase,14,5,8,Yes,8,9,10,7,7,7,8,5,6,4,7,6,6,10
120,Female,B.E/B.Tech,CSE,7.47,86.72,Care Allianz,11,10,3,Yes,7,6,6,9,8,6,8,7,9,5,8,6,5,6
121,Female,B.E/B.Tech,CSE,7.95,94.52,Care Allianz,11,8,5,Yes,7,6,7,8,9,6,6,7,8,6,7,6,5,7
122,Female,B.E/B.Tech,CSE,8.83,92.18,Advance Auto Parts,9,7,4,Yes,9,6,9,6,7,6,7,6,7,5,8,6,7,5
123,Female,B.E/B.Tech,CSE,7.67,85.08,Capgemini (Analyst),4,5,2,No,3,0,4,5,4,3,3,5,2,3,4,1,1,0
124,Male,B.E/B.Tech,CSE,8.34,85.13,Care Allianz,11,5,5,Yes,7,7,8,5,6,7,6,7,7,6,5,5,8,5
125,Female,B.E/B.Tech,CSE,8.12,94.18,Infosys (SE),4,1,1,No,4,3,4,2,4,2,4,5,4,2,3,3,3,3
126,Female,B.E/B.Tech,CSE,7.65,96.41,Micron (EPS),9.1,7,7,Yes,6,5,7,7,5,6,6,7,5,5,7,6,7,5
127,Female,B.E/B.Tech,CSE,7.65,89.86,Micron (EPS),9.1,9,5,Yes,7,8,6,5,5,8,7,7,6,6,6,6,5,6
128,Male,B.E/B.Tech,CSE,7.3,93.22,Modak Analytics,6,3,5,No,6,5,6,5,5,3,3,6,6,5,1,2,6,6
129,Male,B.E/B.Tech,CSE,7.39,91.69,Care Allianz,11,6,4,Yes,8,7,8,7,6,7,5,8,7,6,7,6,6,7
130,Male,B.E/B.Tech,CSE,7.62,94.59,Care Allianz,11,5,7,Yes,7,6,6,7,8,7,7,5,6,5,6,7,6,7
131,Male,B.E/B.Tech,CSE,8.41,85.47,Micron (EPS),9.1,6,5,Yes,7,7,6,6,7,6,5,7,6,4,5,6,7,6
132,Male,B.E/B.Tech,CSE,7.85,85.27,HD Works,12,6,7,Yes,10,10,7,8,9,7,9,9,8,4,8,5,5,8
133,Female,B.E/B.Tech,CSE,8.48,94.71,Advance Auto Parts,9,7,7,Yes,6,7,6,5,6,5,7,6,5,4,8,4,5,6
134,Female,B.E/B.Tech,CSE,7.97,88.52,Darwin Box (Internship),13,6,10,Yes,8,6,9,9,7,7,9,7,6,5,7,6,7,7
135,Male,B.E/B.Tech,CSE,8.17,86.35,PwC Acceleration Center,6,5,6,No,6,4,6,7,5,5,5,6,2,3,3,2,1,5
136,Male,B.E/B.Tech,CSE,9.01,89.74,Micron (EPS),9.1,6,5,Yes,7,5,6,6,7,6,5,6,5,3,6,5,10,6
137,Female,B.E/B.Tech,CSE,7.79,90.45,Darwin Box (Internship),13,7,10,Yes,8,7,6,8,6,8,5,6,8,5,5,6,7,6
138,Male,B.E/B.Tech,CSE,7.82,95.69,Accenture (Adv ASE),6.5,3,5,No,7,6,5,0,8,6,4,7,4,2,7,4,3,6
139,Female,B.E/B.Tech,CSE,9.01,89.81,Modak Analytics,6,4,3,No,6,6,5,7,6,4,5,4,3,2,5,4,4,3
140,Female,B.E/B.Tech,CSE,8.53,94.59,Mathworks,15.5,10,10,Yes,7,10,6,6,5,10,8,9,7,5,5,5,9,5
141,Male,B.E/B.Tech,CSE,8.32,89.42,Care Allianz,11,5,6,Yes,6,10,7,7,8,5,5,8,6,5,7,6,6,8
142,Female,B.E/B.Tech,CSE,9.11,94.72,Care Allianz,11,6,4,Yes,8,9,6,6,4,7,6,6,8,3,5,5,9,6
143,Female,B.E/B.Tech,CSE,7.88,91.23,JP Morgan Chase,14,6,9,Yes,7,9,7,9,6,7,6,7,10,4,7,6,6,7
144,Male,B.E/B.Tech,CSE,7.37,89.01,Accenture (Adv ASE),6.5,6,6,No,5,6,6,5,5,4,3,6,2,2,6,3,5,4
145,Female,B.E/B.Tech,CSE,9.15,93.93,Care Allianz,11,10,6,Yes,6,6,7,5,7,7,6,6,7,6,6,5,6,7
146,Male,B.E/B.Tech,CSE,7.9,92.85,Mindtree,4,3,2,No,2,5,4,3,4,2,3,5,4,1,3,1,0,3
147,Male,B.E/B.Tech,CSE,7.53,92.61,Micron (EPS),9.1,5,4,Yes,6,5,6,6,6,7,6,7,8,5,7,6,5,8
148,Male,B.E/B.Tech,CSE,8.68,95.24,Capgemini (Analyst),4,3,3,No,4,3,5,1,4,3,1,3,4,3,3,3,6,3
149,Female,B.E/B.Tech,CSE,7.59,86.93,Keka,7,5,3,Yes,5,5,4,4,5,3,3,4,4,4,4,3,1,6
150,Female,B.E/B.Tech,CSE,7.87,86.82,Micron (EPS),9.1,10,7,No,7,7,8,7,7,6,7,7,6,4,5,6,6,7
151,Female,B.E/B.Tech,CSE,8.12,90.46,HD Works,12,6,7,Yes,7,9,10,8,8,7,5,6,10,4,5,6,6,4
152,Male,B.E/B.Tech,CSE,7.91,95.41,Capgemini (Analyst),4,2,3,No,6,3,6,3,3,4,1,3,4,2,4,3,4,5
153,Male,B.E/B.Tech,CSE,7.66,91.18,HD Works,12,9,8,No,8,10,10,6,7,8,5,8,10,5,6,6,8,6
154,Male,B.E/B.Tech,CSE,8.47,90,Advance Auto Parts,9,7,6,No,8,8,10,6,6,5,6,7,6,5,8,6,7,9
155,Male,B.E/B.Tech,CSE,8.45,93.91,Mathworks,15.5,10,6,Yes,8,10,6,7,6,8,8,7,6,5,6,5,7,6
156,Female,B.E/B.Tech,CSE,7.7,89.18,Modak Analytics,6,1,3,Yes,6,4,5,1,5,3,5,5,6,3,5,4,3,6
157,Male,B.E/B.Tech,CSE,8.77,86.24,Micron (EPS),9.1,6,5,Yes,5,7,8,6,5,6,8,6,7,3,4,5,6,7
158,Male,B.E/B.Tech,CSE,7.94,90.88,Infosys (SE),4,4,1,No,4,4,3,3,3,4,2,4,4,2,0,1,3,2
159,Male,B.E/B.Tech,CSE,7.57,88.53,Advance Auto Parts,9,6,9,No,10,6,8,7,5,8,7,7,7,4,6,5,7,7
160,Male,B.E/B.Tech,CSE,8.71,96.05,Barclays,12.75,5,7,Yes,7,6,9,9,6,7,7,10,9,5,8,6,7,6
161,Male,B.E/B.Tech,CSE,8.19,90.59,Mindtree,4,4,2,No,4,0,4,3,4,2,2,4,3,2,3,3,1,2
162,Female,B.E/B.Tech,CSE,8.93,93.59,Accenture (Adv ASE),6.5,7,5,No,5,6,4,2,6,3,6,5,4,3,5,3,6,5
163,Female,B.E/B.Tech,CSE,7.88,90.36,Collins Aerospace (Internship),6.25,6,3,Yes,6,6,7,4,3,5,4,5,5,3,5,4,4,5
164,Female,B.E/B.Tech,CSE,9.21,96.32,Cognizant GenC,5,7,4,No,6,3,5,2,3,5,3,4,4,3,3,3,4,4
165,Male,B.E/B.Tech,CSE,9.26,87.39,Micron (EPS),9.1,7,7,Yes,9,6,7,6,6,7,5,6,6,4,5,6,5,7
166,Female,B.E/B.Tech,CSE,8.32,93.17,Deloitte (Tax),7.6,9,10,No,6,3,7,5,6,7,6,7,6,3,5,5,6,4
167,Female,B.E/B.Tech,CSE,9.04,89.54,JP Morgan Chase,14,9,6,Yes,7,7,6,10,6,7,7,10,7,5,6,7,6,8
168,Female,B.E/B.Tech,CSE,7.93,85.16,Micron (EPS),9.1,6,6,No,6,6,6,5,5,7,5,7,6,3,7,6,7,6
169,Male,B.E/B.Tech,CSE,7.64,97.22,Infosys (DSE),5,3,1,No,4,3,4,3,4,3,3,4,5,3,4,2,3,5
170,Male,B.E/B.Tech,CSE,8.76,85.82,Micron (EPS),9.1,5,7,Yes,8,5,7,6,7,7,7,6,6,3,6,5,6,7
171,Male,B.E/B.Tech,CSE,8.92,95.19,HD Works,12,10,9,Yes,7,8,7,10,8,6,7,7,6,5,7,6,10,8
172,Male,B.E/B.Tech,CSE,8.01,91.35,Deloitte (Tax),7.6,7,7,Yes,5,6,7,6,5,5,5,6,7,3,7,5,5,5
173,Male,B.E/B.Tech,CSE,7.55,85.45,Care Allianz,11,5,6,Yes,7,6,8,7,2,7,5,6,7,5,7,5,8,6
174,Male,B.E/B.Tech,CSE,9.26,85.55,Mathworks,15.5,9,7,Yes,7,7,9,6,7,7,6,10,9,5,8,7,6,9
175,Male,B.E/B.Tech,CSE,9.35,86.75,Cognizant GenC,5,1,2,No,5,4,5,1,3,4,3,4,2,1,2,2,5,5
176,Male,B.E/B.Tech,CSE,7.26,85.18,Care Allianz,11,8,9,Yes,9,5,8,6,6,6,5,6,7,3,7,6,6,8
177,Male,B.E/B.Tech,CSE,8.81,86.77,Cognizant GenC,5,2,2,No,5,3,4,3,4,5,2,6,3,2,4,0,5,4
178,Male,B.E/B.Tech,CSE,8.22,89.81,Micron (EPS),9.1,5,7,No,8,7,9,6,6,8,5,6,5,4,5,5,7,8
179,Male,B.E/B.Tech,CSE,7.79,88.48,Micron (EPS),9.1,5,6,No,5,6,7,5,8,5,4,7,7,5,5,4,7,7
180,Male,B.E/B.Tech,CSE,8.25,91.89,Accolite,8,8,9,No,7,2,6,4,7,7,5,6,5,3,4,4,6,6
181,Male,B.E/B.Tech,CSE,8.37,91.07,HD Works,12,9,10,Yes,9,7,7,6,7,8,8,6,5,6,7,6,4,6
182,Male,B.E/B.Tech,CSE,9.33,86.34,Advance Auto Parts,9,5,8,No,4,8,4,6,6,6,6,8,10,5,7,7,9,7
183,Male,B.E/B.Tech,CSE,7.92,92.71,Micron (EPS),9.1,8,5,No,8,9,9,5,8,8,7,3,5,5,6,5,4,4
184,Female,B.E/B.Tech,CSE,7.35,93.35,Care Allianz,11,5,4,Yes,7,3,7,10,5,5,5,6,8,3,8,5,4,6
185,Male,B.E/B.Tech,CSE,7.21,87.38,Barclays,12.75,6,5,No,9,7,7,9,6,8,7,8,7,7,5,6,9,7
186,Male,B.E/B.Tech,CSE,7.53,87.06,Infosys (SE),4,3,3,No,3,4,3,1,3,4,3,4,3,3,3,4,4,3
187,Female,B.E/B.Tech,CSE,7.37,92.16,Cognizant GenC,5,5,1,No,4,3,6,5,3,3,4,5,4,3,4,5,3,4
188,Male,B.E/B.Tech,CSE,8.23,89.1,Micron (ETD),8.1,7,5,No,6,3,5,5,6,4,3,6,4,3,5,4,6,5
189,Male,B.E/B.Tech,CSE,8.04,88.72,Keka,7,2,2,No,4,6,6,3,4,4,5,7,6,2,5,4,5,6
190,Male,B.E/B.Tech,CSE,7.62,85.6,Accenture (ASE),4.5,6,5,No,6,4,6,2,5,5,4,6,3,3,3,3,3,4
191,Female,B.E/B.Tech,CSE,9.02,85.35,Micron (EPS),9.1,6,7,No,9,5,9,5,6,7,8,6,7,5,7,5,6,7
192,Male,B.E/B.Tech,CSE,7.66,91.79,JP Morgan Chase,14,9,9,No,8,6,8,7,9,8,9,7,8,6,8,7,7,10
193,Male,B.E/B.Tech,CSE,9.06,91.02,Mathworks,15.5,6,5,No,9,5,10,10,8,10,7,7,8,5,8,8,7,8
194,Male,B.E/B.Tech,CSE,9.07,95.14,JP Morgan Chase,14,7,6,Yes,10,10,7,6,6,7,5,7,9,5,8,7,7,7
195,Female,B.E/B.Tech,CSE,7.35,91.39,Micron (EPS),9.1,5,5,No,9,6,9,5,8,6,6,5,7,3,5,5,8,8
196,Male,B.E/B.Tech,CSE,8.98,90.53,Oracle (FSGBU),16.6,9,9,Yes,9,6,9,7,9,6,6,9,7,8,7,8,8,9
197,Male,B.E/B.Tech,CSE,8.67,91.8,Care Allianz,11,8,8,Yes,6,5,6,5,6,7,6,7,6,4,7,6,6,10
198,Male,B.E/B.Tech,CSE,7.46,86.98,Barclays,12.75,10,6,Yes,8,6,9,5,10,8,7,8,7,5,7,5,10,10
199,Female,B.E/B.Tech,CSE,8.34,91.84,Care Allianz,11,7,10,No,7,9,9,5,8,8,5,8,5,3,8,6,5,10
